Date,Adj Close,Close,High,Low,Open,Volume,Symbol
2020-08-12,814.1101684570312,954.9500122070312,958.7999877929688,942.2000122070312,948.0,6908726,INFY.NS
2020-08-13,810.9132080078125,951.2000122070312,968.5,948.25,954.7999877929688,5097703,INFY.NS
2020-08-14,812.959228515625,953.5999755859375,963.0,952.0499877929688,955.8499755859375,4663873,INFY.NS
2020-08-17,816.2840576171875,957.5,972.4500122070312,954.0999755859375,954.0999755859375,9008210,INFY.NS
2020-08-18,824.8518676757812,967.5499877929688,969.2000122070312,958.7000122070312,963.9000244140625,6141761,INFY.NS
2020-08-19,817.8186645507812,959.2999877929688,971.5499877929688,957.4500122070312,970.9000244140625,6622744,INFY.NS
2020-08-20,814.2806396484375,955.1500244140625,965.5,951.2999877929688,958.9000244140625,5656501,INFY.NS
2020-08-21,808.8671264648438,948.7999877929688,963.4500122070312,946.5499877929688,963.0499877929688,6513773,INFY.NS
2020-08-24,807.6737670898438,947.4000244140625,952.0,939.2000122070312,947.0,5798574,INFY.NS
2020-08-25,799.7451782226562,938.0999755859375,948.6500244140625,933.5999755859375,947.5,6233918,INFY.NS
2020-08-26,810.5721435546875,950.7999877929688,954.25,938.4000244140625,941.25,5153601,INFY.NS
2020-08-27,807.375244140625,947.0499877929688,960.9500122070312,945.2000122070312,960.0,6154280,INFY.NS
2020-08-28,797.3154907226562,935.25,952.5,933.0499877929688,951.4500122070312,7593610,INFY.NS
2020-08-31,791.6463012695312,928.5999755859375,950.5,914.5999755859375,935.25,12808355,INFY.NS
2020-09-01,779.3275146484375,914.1500244140625,935.0,912.0999755859375,926.25,6907773,INFY.NS
2020-09-02,787.7247924804688,924.0,926.4000244140625,913.5,915.0,5678118,INFY.NS
2020-09-03,797.5713500976562,935.5499877929688,949.4000244140625,924.0,926.5,8827948,INFY.NS
2020-09-04,783.5900268554688,919.1500244140625,929.5,914.4500122070312,915.0,8650342,INFY.NS
2020-09-07,788.619873046875,925.0499877929688,927.5499877929688,913.0499877929688,918.9000244140625,6700385,INFY.NS
2020-09-08,800.7681884765625,939.2999877929688,952.0,925.5499877929688,929.9500122070312,12891964,INFY.NS
2020-09-09,790.921630859375,927.75,946.0,926.0,935.0,5528947,INFY.NS
2020-09-10,801.4076538085938,940.0499877929688,942.0,924.7999877929688,935.2999877929688,5171884,INFY.NS
2020-09-11,806.224365234375,945.7000122070312,954.1500244140625,931.0,934.9000244140625,6671903,INFY.NS
2020-09-14,834.1016235351562,978.4000244140625,991.0499877929688,948.2999877929688,957.0,21871587,INFY.NS
2020-09-15,837.5543823242188,982.4500122070312,994.0,971.6500244140625,979.5,11608203,INFY.NS
2020-09-16,854.0079345703125,1001.75,1005.6500244140625,982.0,986.0,10059251,INFY.NS
2020-09-17,861.8935546875,1011.0,1021.0,995.0,995.0,15628241,INFY.NS
2020-09-18,854.3489379882812,1002.1500244140625,1018.7999877929688,999.0999755859375,1011.0,12897633,INFY.NS
2020-09-21,860.9558715820312,1009.9000244140625,1031.0,1000.5,1001.0,14140637,INFY.NS
2020-09-22,858.9097900390625,1007.5,1022.5,991.2000122070312,1009.0,12625762,INFY.NS
2020-09-23,869.3532104492188,1019.75,1037.0,1008.0999755859375,1020.1500244140625,13486204,INFY.NS
2020-09-24,831.5440673828125,975.4000244140625,1009.0,970.0,1003.0,14427432,INFY.NS
2020-09-25,862.2772827148438,1011.4500122070312,1014.9000244140625,975.0,975.7999877929688,13311078,INFY.NS
2020-09-28,861.382080078125,1010.4000244140625,1016.1500244140625,998.5,1014.7999877929688,8554526,INFY.NS
2020-09-29,860.1886596679688,1009.0,1028.0,1004.0999755859375,1018.0,8708463,INFY.NS
2020-09-30,859.5492553710938,1008.25,1023.9500122070312,1005.0,1009.0,8048817,INFY.NS
2020-10-01,867.5629272460938,1017.6500244140625,1026.5,1011.75,1020.5999755859375,5563358,INFY.NS
2020-10-05,894.0336303710938,1048.699951171875,1054.9000244140625,1018.0499877929688,1018.0499877929688,14212509,INFY.NS
2020-10-06,900.043701171875,1055.75,1060.0,1031.3499755859375,1055.0,9090819,INFY.NS
2020-10-07,909.2510375976562,1066.550048828125,1072.0,1035.5,1044.9000244140625,9284008,INFY.NS
2020-10-08,932.3966674804688,1093.699951171875,1124.0,1088.4000244140625,1090.0,21482613,INFY.NS
2020-10-09,943.5646362304688,1106.800048828125,1113.300048828125,1088.449951171875,1095.0999755859375,10567867,INFY.NS
2020-10-12,965.13330078125,1132.0999755859375,1140.0,1112.0999755859375,1123.0,14633537,INFY.NS
2020-10-13,987.04296875,1157.800048828125,1166.050048828125,1135.550048828125,1135.550048828125,17523825,INFY.NS
2020-10-14,969.3106689453125,1137.0,1164.9000244140625,1131.0999755859375,1162.0,16649573,INFY.NS
2020-10-15,944.8007202148438,1108.25,1186.0,1092.5,1180.0,44288251,INFY.NS
2020-10-16,961.2117919921875,1127.5,1135.949951171875,1096.9000244140625,1113.8499755859375,18365685,INFY.NS
2020-10-19,959.847900390625,1125.9000244140625,1139.0,1115.300048828125,1135.0,12902123,INFY.NS
2020-10-20,969.7368774414062,1137.5,1144.699951171875,1110.0,1118.9000244140625,10448776,INFY.NS
2020-10-21,978.9867553710938,1148.3499755859375,1154.3499755859375,1135.0,1141.1500244140625,19811433,INFY.NS
2020-10-22,962.533203125,1129.050048828125,1158.0,1123.800048828125,1142.0,11271335,INFY.NS
2020-10-23,967.2291870117188,1122.5,1135.0,1120.1500244140625,1133.0,9069862,INFY.NS
2020-10-26,958.5695190429688,1112.449951171875,1129.5999755859375,1103.1500244140625,1122.25,6309368,INFY.NS
2020-10-27,939.9573364257812,1090.8499755859375,1109.699951171875,1077.1500244140625,1105.699951171875,10172479,INFY.NS
2020-10-28,927.63525390625,1076.550048828125,1104.75,1070.050048828125,1095.5,7608392,INFY.NS
2020-10-29,926.170654296875,1074.8499755859375,1082.0,1060.0999755859375,1070.0,6935616,INFY.NS
2020-10-30,913.8916015625,1060.5999755859375,1083.5999755859375,1052.3499755859375,1072.0,8800386,INFY.NS
2020-11-02,923.9732666015625,1072.300048828125,1079.949951171875,1051.0999755859375,1065.0,7183119,INFY.NS
2020-11-03,915.5719604492188,1062.550048828125,1079.4000244140625,1057.5,1072.0,7204782,INFY.NS
2020-11-04,942.62841796875,1093.949951171875,1116.0,1066.800048828125,1068.0,15702690,INFY.NS
2020-11-05,951.288330078125,1104.0,1123.0,1099.0,1109.9000244140625,9568890,INFY.NS
2020-11-06,958.8279418945312,1112.75,1121.0999755859375,1091.699951171875,1108.0,8807127,INFY.NS
2020-11-09,979.3359375,1136.550048828125,1146.0,1121.1500244140625,1129.300048828125,10160320,INFY.NS
2020-11-10,940.1295776367188,1091.050048828125,1113.8499755859375,1078.0,1113.8499755859375,15622869,INFY.NS
2020-11-11,967.2291870117188,1122.5,1126.3499755859375,1087.0,1096.0,12514800,INFY.NS
2020-11-12,963.1362915039062,1117.75,1142.0,1113.75,1128.0999755859375,9180976,INFY.NS
2020-11-13,968.694091796875,1124.199951171875,1133.0,1117.0,1120.0,6363212,INFY.NS
2020-11-14,976.6647338867188,1133.449951171875,1139.6500244140625,1131.0999755859375,1137.0,1136144,INFY.NS
2020-11-17,968.2632446289062,1123.699951171875,1145.0,1112.6500244140625,1144.75,12813968,INFY.NS
2020-11-18,956.9323120117188,1110.550048828125,1132.699951171875,1101.449951171875,1128.5,9839468,INFY.NS
2020-11-19,945.0411376953125,1096.75,1114.699951171875,1093.800048828125,1100.0,10092343,INFY.NS
2020-11-20,950.728271484375,1103.3499755859375,1109.0,1091.0999755859375,1106.0,8063554,INFY.NS
2020-11-23,982.17919921875,1139.8499755859375,1144.800048828125,1101.949951171875,1105.0,10546363,INFY.NS
2020-11-24,982.351806640625,1140.050048828125,1154.9000244140625,1133.3499755859375,1145.0,8515426,INFY.NS
2020-11-25,961.3269653320312,1115.6500244140625,1143.5,1111.25,1137.0,8958701,INFY.NS
2020-11-26,959.2157592773438,1113.199951171875,1119.949951171875,1098.300048828125,1119.949951171875,10962256,INFY.NS
2020-11-27,947.8416748046875,1100.0,1121.0,1091.0,1118.0,25306145,INFY.NS
2020-12-01,980.4559326171875,1137.8499755859375,1140.25,1105.050048828125,1105.050048828125,8933802,INFY.NS
2020-12-02,983.0841674804688,1140.9000244140625,1147.449951171875,1121.0,1134.0,6741637,INFY.NS
2020-12-03,970.6329345703125,1126.449951171875,1147.0,1122.699951171875,1147.0,16212632,INFY.NS
2020-12-04,977.6986694335938,1134.6500244140625,1137.0,1115.0,1125.0,10564055,INFY.NS
2020-12-07,985.3245239257812,1143.5,1153.0,1136.0,1147.300048828125,7792141,INFY.NS
2020-12-08,993.8118896484375,1153.3499755859375,1167.0,1145.0,1145.0,12308330,INFY.NS
2020-12-09,1012.6395263671875,1175.199951171875,1179.5,1157.0,1168.050048828125,10039346,INFY.NS
2020-12-10,1006.2199096679688,1167.75,1171.6500244140625,1150.0,1157.4000244140625,9488782,INFY.NS
2020-12-11,1002.299560546875,1163.199951171875,1171.949951171875,1155.25,1159.699951171875,10574009,INFY.NS
2020-12-14,1003.4627075195312,1164.550048828125,1172.5999755859375,1148.199951171875,1169.4000244140625,6728187,INFY.NS
2020-12-15,994.8890991210938,1154.5999755859375,1163.699951171875,1152.0,1156.0,6905926,INFY.NS
2020-12-16,1004.45361328125,1165.699951171875,1168.9000244140625,1153.5999755859375,1160.0,7788404,INFY.NS
2020-12-17,998.852783203125,1159.199951171875,1168.9000244140625,1156.199951171875,1165.9000244140625,6658153,INFY.NS
2020-12-18,1025.219970703125,1189.800048828125,1195.0,1175.5999755859375,1182.8499755859375,15995676,INFY.NS
2020-12-21,1014.448974609375,1177.300048828125,1209.75,1152.050048828125,1188.0,10858352,INFY.NS
2020-12-22,1051.67333984375,1220.5,1223.8499755859375,1176.0999755859375,1182.0,10901851,INFY.NS
2020-12-23,1079.720947265625,1253.050048828125,1258.8499755859375,1230.550048828125,1238.0,15878346,INFY.NS
2020-12-24,1065.0723876953125,1236.050048828125,1249.9000244140625,1226.0,1249.9000244140625,7313885,INFY.NS
2020-12-28,1068.734619140625,1240.300048828125,1248.0,1236.0,1238.449951171875,4607051,INFY.NS
2020-12-29,1077.351318359375,1250.300048828125,1254.449951171875,1235.0,1235.0,6878105,INFY.NS
2020-12-30,1074.3355712890625,1246.800048828125,1253.300048828125,1238.1500244140625,1253.0,5194690,INFY.NS
2020-12-31,1082.0904541015625,1255.800048828125,1258.4000244140625,1239.0,1243.0,7430470,INFY.NS
2021-01-01,1086.097412109375,1260.449951171875,1265.5,1255.800048828125,1257.9000244140625,4253550,INFY.NS
2021-01-04,1110.0517578125,1288.25,1290.0,1261.1500244140625,1269.0,7208454,INFY.NS
2021-01-05,1114.833984375,1293.800048828125,1299.0,1275.050048828125,1282.0,8145280,INFY.NS
2021-01-06,1104.7525634765625,1282.0999755859375,1302.0,1268.050048828125,1300.0,7161715,INFY.NS
2021-01-07,1087.56201171875,1262.1500244140625,1297.6500244140625,1255.5,1296.0,10954918,INFY.NS
2021-01-08,1130.6026611328125,1312.0999755859375,1316.800048828125,1278.25,1278.25,13186251,INFY.NS
2021-01-11,1185.8359375,1376.199951171875,1383.3499755859375,1340.0,1342.0999755859375,20528626,INFY.NS
2021-01-12,1182.0015869140625,1371.75,1378.0,1360.0,1378.0,8309868,INFY.NS
2021-01-13,1195.271484375,1387.1500244140625,1392.800048828125,1360.0,1373.8499755859375,14442997,INFY.NS
2021-01-14,1180.9244384765625,1370.5,1384.0,1318.449951171875,1360.0,27521697,INFY.NS
2021-01-15,1158.90869140625,1344.949951171875,1364.449951171875,1340.0,1360.0,15018441,INFY.NS
2021-01-18,1130.5596923828125,1312.050048828125,1340.0,1306.0,1338.0,8861765,INFY.NS
2021-01-19,1134.5234375,1316.6500244140625,1331.0,1312.0,1320.0,5585744,INFY.NS
2021-01-20,1154.16943359375,1339.449951171875,1348.4000244140625,1320.550048828125,1320.550048828125,8225838,INFY.NS
2021-01-21,1154.385009765625,1339.699951171875,1361.050048828125,1335.0,1350.0,6142421,INFY.NS
2021-01-22,1155.3758544921875,1340.8499755859375,1356.0,1326.550048828125,1327.0,9646591,INFY.NS
2021-01-25,1141.8043212890625,1325.0999755859375,1347.9000244140625,1313.0,1345.0,6542611,INFY.NS
2021-01-27,1121.0380859375,1301.0,1327.550048828125,1285.0999755859375,1319.5999755859375,8133665,INFY.NS
2021-01-28,1099.668701171875,1276.199951171875,1296.449951171875,1272.550048828125,1291.800048828125,4660690,INFY.NS
2021-01-29,1067.6572265625,1239.050048828125,1291.1500244140625,1231.0,1286.25,12183519,INFY.NS
2021-02-01,1086.4849853515625,1260.9000244140625,1277.949951171875,1241.0,1250.550048828125,8880279,INFY.NS
2021-02-02,1095.4034423828125,1271.25,1294.4000244140625,1263.5999755859375,1280.0,6892490,INFY.NS
2021-02-03,1106.94970703125,1284.6500244140625,1304.0,1273.0,1277.6500244140625,8182968,INFY.NS
2021-02-04,1102.382568359375,1279.3499755859375,1293.4000244140625,1272.050048828125,1285.0,5032240,INFY.NS
2021-02-05,1096.1357421875,1272.0999755859375,1288.75,1262.0,1286.4000244140625,5477481,INFY.NS
2021-02-08,1123.2354736328125,1303.550048828125,1310.0,1275.5,1285.5,6921922,INFY.NS
2021-02-09,1124.958740234375,1305.550048828125,1332.0,1297.8499755859375,1306.9000244140625,7965949,INFY.NS
2021-02-10,1117.1607666015625,1296.5,1304.3499755859375,1283.5999755859375,1295.800048828125,5951207,INFY.NS
2021-02-11,1113.8431396484375,1292.6500244140625,1296.0,1283.050048828125,1289.0,4673317,INFY.NS
2021-02-12,1128.6209716796875,1309.800048828125,1323.75,1301.550048828125,1305.0,5797875,INFY.NS
2021-02-15,1128.49169921875,1309.6500244140625,1328.4000244140625,1307.0999755859375,1320.0,4363513,INFY.NS
2021-02-16,1111.904296875,1290.4000244140625,1319.75,1286.0,1314.0,6896421,INFY.NS
2021-02-17,1104.0631103515625,1281.300048828125,1294.5,1275.0,1290.4000244140625,4575741,INFY.NS
2021-02-18,1113.6707763671875,1292.449951171875,1306.0,1275.0,1276.0,6437551,INFY.NS
2021-02-19,1112.679931640625,1291.300048828125,1299.5,1276.800048828125,1296.0999755859375,5389696,INFY.NS
2021-02-22,1090.190185546875,1265.199951171875,1308.550048828125,1260.0,1295.0,7371303,INFY.NS
2021-02-23,1091.18115234375,1266.3499755859375,1291.0,1257.550048828125,1271.1500244140625,6612942,INFY.NS
2021-02-24,1098.0313720703125,1274.300048828125,1276.5999755859375,1252.0,1260.050048828125,4537258,INFY.NS
2021-02-25,1098.2469482421875,1274.550048828125,1299.75,1272.0,1288.449951171875,8788221,INFY.NS
2021-02-26,1079.9364013671875,1253.300048828125,1274.300048828125,1244.75,1269.0,15132388,INFY.NS
2021-03-01,1091.7412109375,1267.0,1284.5,1259.0,1263.300048828125,5756286,INFY.NS
2021-03-02,1124.053955078125,1304.5,1310.0,1279.199951171875,1282.25,10461434,INFY.NS
2021-03-03,1157.7025146484375,1343.550048828125,1347.0,1308.0,1319.199951171875,9056399,INFY.NS
2021-03-04,1146.328125,1330.3499755859375,1363.8499755859375,1325.9000244140625,1335.0,12041941,INFY.NS
2021-03-05,1134.566162109375,1316.699951171875,1340.0,1305.050048828125,1328.5,6486176,INFY.NS
2021-03-08,1150.981201171875,1335.75,1346.0999755859375,1317.199951171875,1324.800048828125,5119392,INFY.NS
2021-03-09,1159.425537109375,1345.550048828125,1350.449951171875,1318.75,1329.5,6518173,INFY.NS
2021-03-10,1178.8995361328125,1368.1500244140625,1374.0,1355.0,1356.9000244140625,7925984,INFY.NS
2021-03-12,1184.6729736328125,1374.8499755859375,1391.699951171875,1370.050048828125,1373.0,9462061,INFY.NS
2021-03-15,1183.595703125,1373.5999755859375,1379.9000244140625,1358.5,1370.0,6658635,INFY.NS
2021-03-16,1192.55712890625,1384.0,1406.0,1380.5,1386.050048828125,9352771,INFY.NS
2021-03-17,1195.1422119140625,1387.0,1400.0,1382.0,1392.25,7626744,INFY.NS
2021-03-18,1152.1446533203125,1337.0999755859375,1393.75,1313.5,1393.75,10961755,INFY.NS
2021-03-19,1158.4779052734375,1344.449951171875,1355.199951171875,1318.0,1330.0,12767112,INFY.NS
2021-03-22,1181.182861328125,1370.800048828125,1376.0,1336.0999755859375,1350.0999755859375,4862758,INFY.NS
2021-03-23,1181.8292236328125,1371.550048828125,1383.25,1359.5999755859375,1372.449951171875,7165335,INFY.NS
2021-03-24,1166.4913330078125,1353.75,1370.449951171875,1346.25,1357.8499755859375,6134303,INFY.NS
2021-03-25,1149.3011474609375,1333.800048828125,1352.5,1327.5999755859375,1346.75,8749994,INFY.NS
2021-03-26,1151.369140625,1336.199951171875,1356.699951171875,1332.0,1344.699951171875,4922071,INFY.NS
2021-03-30,1193.6773681640625,1385.300048828125,1400.0,1336.1500244140625,1346.9000244140625,10546381,INFY.NS
2021-03-31,1178.8134765625,1368.050048828125,1388.0,1363.300048828125,1382.0,8220987,INFY.NS
2021-04-01,1193.591064453125,1385.199951171875,1391.5999755859375,1371.0,1380.0,5675155,INFY.NS
2021-04-05,1214.87451171875,1409.9000244140625,1425.0,1387.0,1391.0,9479572,INFY.NS
2021-04-06,1215.8653564453125,1411.050048828125,1426.0,1406.449951171875,1423.0,5793571,INFY.NS
2021-04-07,1232.366455078125,1430.199951171875,1434.949951171875,1406.5999755859375,1410.25,5879234,INFY.NS
2021-04-08,1240.681640625,1439.8499755859375,1451.699951171875,1421.0,1430.0,5654434,INFY.NS
2021-04-09,1241.7158203125,1441.050048828125,1455.0,1430.050048828125,1455.0,6052712,INFY.NS
2021-04-12,1228.531982421875,1425.75,1477.550048828125,1415.0,1474.0,20384532,INFY.NS
2021-04-13,1203.88818359375,1397.1500244140625,1435.25,1375.0,1433.0,14855206,INFY.NS
2021-04-15,1172.5230712890625,1360.75,1366.4000244140625,1320.0,1332.300048828125,25342491,INFY.NS
2021-04-16,1166.4913330078125,1353.75,1370.8499755859375,1346.5999755859375,1365.0,10879878,INFY.NS
2021-04-19,1174.0743408203125,1362.550048828125,1379.699951171875,1332.3499755859375,1340.0,12508028,INFY.NS
2021-04-20,1164.42333984375,1351.3499755859375,1379.0,1342.4000244140625,1379.0,8560766,INFY.NS
2021-04-22,1164.2080078125,1351.0999755859375,1364.800048828125,1345.1500244140625,1355.550048828125,6622446,INFY.NS
2021-04-23,1149.3011474609375,1333.800048828125,1348.4000244140625,1331.0,1343.0,7316262,INFY.NS
2021-04-26,1157.7025146484375,1343.550048828125,1351.300048828125,1321.0,1332.25,7088606,INFY.NS
2021-04-27,1161.9676513671875,1348.5,1353.0,1340.1500244140625,1346.0,3636115,INFY.NS
2021-04-28,1168.4300537109375,1356.0,1359.5,1344.5999755859375,1358.0,4879234,INFY.NS
2021-04-29,1168.731689453125,1356.3499755859375,1369.0,1351.4000244140625,1368.0,5412357,INFY.NS
2021-04-30,1167.0084228515625,1354.3499755859375,1373.9000244140625,1345.9000244140625,1346.300048828125,8354677,INFY.NS
2021-05-03,1165.0267333984375,1352.050048828125,1361.0,1338.0,1340.800048828125,4560337,INFY.NS
2021-05-04,1145.5096435546875,1329.4000244140625,1354.949951171875,1324.0999755859375,1354.0,4887060,INFY.NS
2021-05-05,1155.9359130859375,1341.5,1343.9000244140625,1327.800048828125,1341.0999755859375,3939788,INFY.NS
2021-05-06,1173.255615234375,1361.5999755859375,1364.699951171875,1337.4000244140625,1345.0,4810090,INFY.NS
2021-05-07,1165.4573974609375,1352.550048828125,1373.050048828125,1348.5,1365.300048828125,4991435,INFY.NS
2021-05-10,1154.2557373046875,1339.550048828125,1352.9000244140625,1335.050048828125,1349.8499755859375,7195348,INFY.NS
2021-05-11,1146.5870361328125,1330.6500244140625,1341.0,1325.0999755859375,1336.9000244140625,6420988,INFY.NS
2021-05-12,1143.4415283203125,1327.0,1330.0,1314.5,1330.0,5241898,INFY.NS
2021-05-14,1134.3079833984375,1316.4000244140625,1326.8499755859375,1311.300048828125,1326.8499755859375,4824609,INFY.NS
2021-05-17,1145.5096435546875,1329.4000244140625,1334.949951171875,1320.300048828125,1320.300048828125,5017129,INFY.NS
2021-05-18,1154.6434326171875,1340.0,1344.5999755859375,1329.5,1338.0,5620150,INFY.NS
